molecule_chembl_id,smiles,canonical_smiles_rdkit,endpoint,target_pKi,target_value,n_activity_records,p_endpoint_range,high_replicate_spread,n_molecule_chembl_ids_collapsed,collapsed_molecule_chembl_ids,heavy_atom_count,mol_wt_rdkit,assay_type_set,n_unique_assays,n_unique_documents,structure_dedup_note,model_smiles
CHEMBL597579,N=C(N)c1cc2c(OC(COC(=O)Nc3ccc(F)cc3)c3ccccc3)cccc2s1,N=C(N)c1cc2c(OC(COC(=O)Nc3ccc(F)cc3)c3ccccc3)cccc2s1,pKi,5.769551078621726,5.769551078621726,1,0.0,False,1,CHEMBL597579,32,449.50700000000006,B,1,1,single_structure,N=C(N)c1cc2c(OC(COC(=O)Nc3ccc(F)cc3)c3ccccc3)cccc2s1
CHEMBL94799,N=C(N)c1ccc(NC(=O)CC2CC(c3ccc(C(=N)N)cc3)=NO2)cc1,N=C(N)c1ccc(NC(=O)CC2CC(c3ccc(C(=N)N)cc3)=NO2)cc1,pKi,5.769551078621726,5.769551078621726,1,0.0,False,1,CHEMBL94799,27,364.409,B,1,1,single_structure,N=C(N)c1ccc(NC(=O)CC2CC(c3ccc(C(=N)N)cc3)=NO2)cc1
CHEMBL301976,NS(=O)(=O)c1ccccc1-c1ccc(NC(=O)C2CC(c3ccc(Cl)cc3Cl)=NO2)cc1,NS(=O)(=O)c1ccccc1-c1ccc(NC(=O)C2CC(c3ccc(Cl)cc3Cl)=NO2)cc1,pKi,5.769551078621726,5.769551078621726,1,0.0,False,1,CHEMBL301976,32,490.3680000000002,B,1,1,single_structure,NS(=O)(=O)c1ccccc1-c1ccc(NC(=O)C2CC(c3ccc(Cl)cc3Cl)=NO2)cc1
CHEMBL295487,NS(=O)(=O)c1ccccc1-c1ccc(NC(=O)C2CC(c3ccc4c(c3Cl)OCO4)=NO2)cc1,NS(=O)(=O)c1ccccc1-c1ccc(NC(=O)C2CC(c3ccc4c(c3Cl)OCO4)=NO2)cc1,pKi,5.769551078621726,5.769551078621726,1,0.0,False,1,CHEMBL295487,34,499.9320000000003,B,1,1,single_structure,NS(=O)(=O)c1ccccc1-c1ccc(NC(=O)C2CC(c3ccc4c(c3Cl)OCO4)=NO2)cc1
CHEMBL51646,NS(=O)(=O)c1ccccc1-c1ccc(NC(=O)C2CC(c3ccccc3Cl)=NO2)cc1,NS(=O)(=O)c1ccccc1-c1ccc(NC(=O)C2CC(c3ccccc3Cl)=NO2)cc1,pKi,5.769551078621726,5.769551078621726,1,0.0,False,1,CHEMBL51646,31,455.9230000000002,B,1,1,single_structure,NS(=O)(=O)c1ccccc1-c1ccc(NC(=O)C2CC(c3ccccc3Cl)=NO2)cc1
CHEMBL93193,N=C(N)c1cccc(Cn2c(C(=O)NCc3ccc4ccccc4c3)cc3c(O)cccc32)c1,N=C(N)c1cccc(Cn2c(C(=O)NCc3ccc4ccccc4c3)cc3c(O)cccc32)c1,pKi,5.764471553092451,5.764471553092451,1,0.0,False,1,CHEMBL93193,34,448.5260000000001,B,1,1,single_structure,N=C(N)c1cccc(Cn2c(C(=O)NCc3ccc4ccccc4c3)cc3c(O)cccc32)c1
CHEMBL5205467,CC(C)N1CCC(NC(=O)c2nn(CC(=O)Nc3ccc(Cl)cc3)c3ccccc23)CC1,CC(C)N1CCC(NC(=O)c2nn(CC(=O)Nc3ccc(Cl)cc3)c3ccccc23)CC1,pKi,5.759950227887352,5.759950227887352,1,0.0,False,1,CHEMBL5205467,32,453.97400000000016,B,1,1,single_structure,CC(C)N1CCC(NC(=O)c2nn(CC(=O)Nc3ccc(Cl)cc3)c3ccccc23)CC1
CHEMBL597571,N=C(N)c1cc2c(OC(CO)c3ccccc3)cccc2s1,N=C(N)c1cc2c(OC(CO)c3ccccc3)cccc2s1,pKi,5.7594507517174005,5.7594507517174005,1,0.0,False,1,CHEMBL597571,22,312.394,B,1,1,single_structure,N=C(N)c1cc2c(OC(CO)c3ccccc3)cccc2s1
CHEMBL3628957,Cc1ccc2c(c1)c(C)c1n2C[C@@](NC(=O)c2c(Cl)cc(-n3cnnc3)cc2Cl)(c2ccccc2)CC1,Cc1ccc2c(c1)c(C)c1n2C[C@@](NC(=O)c2c(Cl)cc(-n3cnnc3)cc2Cl)(c2ccccc2)CC1,pKi,5.757458571701616,5.757458571701616,1,0.0,False,1,CHEMBL3628957,37,530.4590000000001,B,1,1,single_structure,Cc1ccc2c(c1)c(C)c1n2C[C@@](NC(=O)c2c(Cl)cc(-n3cnnc3)cc2Cl)(c2ccccc2)CC1
CHEMBL541404,COc1ccc2cc(C(=O)NCc3ccc([N+](C)(C)C)cc3)n(Cc3cccc(C(=N)N)c3)c2c1,COc1ccc2cc(C(=O)NCc3ccc([N+](C)(C)C)cc3)n(Cc3cccc(C(=N)N)c3)c2c1,pKi,5.75448733218585,5.75448733218585,1,0.0,False,1,CHEMBL541404,35,470.5970000000002,B,1,1,single_structure,COc1ccc2cc(C(=O)NCc3ccc([N+](C)(C)C)cc3)n(Cc3cccc(C(=N)N)c3)c2c1
CHEMBL318015,NC(=O)Nc1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,NC(=O)Nc1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,pKi,5.7537476877006775,5.7537476877006775,2,0.0,False,1,CHEMBL318015,37,542.4670000000003,B,2,2,single_structure,NC(=O)Nc1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl
